text,word,language,pair_type,domain,author,meaning
"The essence of λόγος manifests in substance, as Democritus demonstrates.",λόγος,greek,etymological,metaphysics,Democritus,"reason, discourse, principle"
Parmenides's analysis reveals λόγος as the foundation of space.,λόγος,greek,etymological,metaphysics,Parmenides,"reason, discourse, principle"
"The essence of λόγος manifests in time, as Plato demonstrates.",λόγος,greek,etymological,metaphysics,Plato,"reason, discourse, principle"
The nature of λόγος plays a central role in Plato's theory of virtue.,λόγος,greek,etymological,philosophy,Plato,"reason, discourse, principle"
Pythagoras shows how λόγος transcends mere causation.,λόγος,greek,etymological,metaphysics,Pythagoras,"reason, discourse, principle"
The metaphysical status of λόγος determines our grasp of matter.,λόγος,greek,etymological,metaphysics,Heraclitus,"reason, discourse, principle"
"The essence of λόγος manifests in space, as Pythagoras demonstrates.",λόγος,greek,etymological,metaphysics,Pythagoras,"reason, discourse, principle"
"Through λόγος, we can understand the true nature of causation.",λόγος,greek,etymological,metaphysics,Chrysippus,"reason, discourse, principle"
"The essence of λόγος manifests in existence, as Plotinus demonstrates.",λόγος,greek,etymological,metaphysics,Plotinus,"reason, discourse, principle"
Aristotle defines λόγος as the principle underlying soul.,λόγος,greek,etymological,philosophy,Aristotle,"reason, discourse, principle"
"Through λόγος, we can understand the true nature of matter.",λόγος,greek,etymological,metaphysics,Plato,"reason, discourse, principle"
"In considering reality, Parmenides argues that λόγος is fundamental to understanding reality.",λόγος,greek,etymological,philosophy,Parmenides,"reason, discourse, principle"
"The essence of λόγος manifests in causation, as Heraclitus demonstrates.",λόγος,greek,etymological,metaphysics,Heraclitus,"reason, discourse, principle"
Chrysippus's analysis reveals λόγος as the foundation of substance.,λόγος,greek,etymological,metaphysics,Chrysippus,"reason, discourse, principle"
"The essence of λόγος manifests in space, as Democritus demonstrates.",λόγος,greek,etymological,metaphysics,Democritus,"reason, discourse, principle"
"Through λόγος, we can understand the true nature of plurality.",λόγος,greek,etymological,metaphysics,Plato,"reason, discourse, principle"
Pythagoras's analysis reveals λόγος as the foundation of essence.,λόγος,greek,etymological,metaphysics,Pythagoras,"reason, discourse, principle"
"The essence of λόγος manifests in space, as Democritus demonstrates.",λόγος,greek,etymological,metaphysics,Democritus,"reason, discourse, principle"
"The essence of λόγος manifests in form, as Democritus demonstrates.",λόγος,greek,etymological,metaphysics,Democritus,"reason, discourse, principle"
The relationship between λόγος and wisdom is explored in Plotinus's work.,λόγος,greek,etymological,philosophy,Plotinus,"reason, discourse, principle"
The metaphysical status of λόγος determines our grasp of space.,λόγος,greek,etymological,metaphysics,Aristotle,"reason, discourse, principle"
The metaphysical status of λόγος determines our grasp of unity.,λόγος,greek,etymological,metaphysics,Plato,"reason, discourse, principle"
"When discussing virtue, Chrysippus emphasizes how λόγος relates to human knowledge.",λόγος,greek,etymological,philosophy,Chrysippus,"reason, discourse, principle"
The relationship between λόγος and knowledge is explored in Epicurus's work.,λόγος,greek,etymological,philosophy,Epicurus,"reason, discourse, principle"
"Through λόγος, we can understand the true nature of causation.",λόγος,greek,etymological,metaphysics,Aristotle,"reason, discourse, principle"
The nature of λόγος plays a central role in Parmenides's theory of virtue.,λόγος,greek,etymological,philosophy,Parmenides,"reason, discourse, principle"
Plato's analysis reveals λόγος as the foundation of space.,λόγος,greek,etymological,metaphysics,Plato,"reason, discourse, principle"
Heraclitus's analysis reveals λόγος as the foundation of matter.,λόγος,greek,etymological,metaphysics,Heraclitus,"reason, discourse, principle"
"In considering reality, Parmenides argues that λόγος is fundamental to understanding reality.",λόγος,greek,etymological,philosophy,Parmenides,"reason, discourse, principle"
"In considering reality, Plato argues that λόγος is fundamental to understanding reality.",λόγος,greek,etymological,philosophy,Plato,"reason, discourse, principle"
"In considering being, Parmenides argues that λόγος is fundamental to understanding reality.",λόγος,greek,etymological,philosophy,Parmenides,"reason, discourse, principle"
Heraclitus's analysis reveals λόγος as the foundation of matter.,λόγος,greek,etymological,metaphysics,Heraclitus,"reason, discourse, principle"
"Through λόγος, we can understand the true nature of essence.",λόγος,greek,etymological,metaphysics,Zeno,"reason, discourse, principle"
The nature of λόγος plays a central role in Plotinus's theory of nature.,λόγος,greek,etymological,philosophy,Plotinus,"reason, discourse, principle"
Quintilian defines ratio as the principle underlying justice.,ratio,latin,etymological,philosophy,Quintilian,"reason, discourse, principle"
Macrobius's analysis reveals ratio as the foundation of form.,ratio,latin,etymological,metaphysics,Macrobius,"reason, discourse, principle"
Lactantius's analysis reveals ratio as the foundation of plurality.,ratio,latin,etymological,metaphysics,Lactantius,"reason, discourse, principle"
The nature of ratio plays a central role in Cicero's theory of virtue.,ratio,latin,etymological,philosophy,Cicero,"reason, discourse, principle"
"The essence of ratio manifests in unity, as Lactantius demonstrates.",ratio,latin,etymological,metaphysics,Lactantius,"reason, discourse, principle"
Lactantius defines ratio as the principle underlying virtue.,ratio,latin,etymological,philosophy,Lactantius,"reason, discourse, principle"
Macrobius's analysis reveals ratio as the foundation of essence.,ratio,latin,etymological,metaphysics,Macrobius,"reason, discourse, principle"
The relationship between ratio and truth is explored in Quintilian's work.,ratio,latin,etymological,philosophy,Quintilian,"reason, discourse, principle"
"When discussing soul, Marcus Aurelius emphasizes how ratio relates to human knowledge.",ratio,latin,etymological,philosophy,Marcus Aurelius,"reason, discourse, principle"
Boethius's analysis reveals ratio as the foundation of form.,ratio,latin,etymological,metaphysics,Boethius,"reason, discourse, principle"
Macrobius's analysis reveals ratio as the foundation of form.,ratio,latin,etymological,metaphysics,Macrobius,"reason, discourse, principle"
"The essence of ratio manifests in plurality, as Cicero demonstrates.",ratio,latin,etymological,metaphysics,Cicero,"reason, discourse, principle"
The relationship between ratio and justice is explored in Marcus Aurelius's work.,ratio,latin,etymological,philosophy,Marcus Aurelius,"reason, discourse, principle"
Seneca defines ratio as the principle underlying justice.,ratio,latin,etymological,philosophy,Seneca,"reason, discourse, principle"
The relationship between ratio and virtue is explored in Lucretius's work.,ratio,latin,etymological,philosophy,Lucretius,"reason, discourse, principle"
The relationship between ratio and mind is explored in Quintilian's work.,ratio,latin,etymological,philosophy,Quintilian,"reason, discourse, principle"
Varro defines ratio as the principle underlying wisdom.,ratio,latin,etymological,philosophy,Varro,"reason, discourse, principle"
Seneca shows how ratio transcends mere essence.,ratio,latin,etymological,metaphysics,Seneca,"reason, discourse, principle"
Quintilian defines ratio as the principle underlying virtue.,ratio,latin,etymological,philosophy,Quintilian,"reason, discourse, principle"
Seneca's analysis reveals ratio as the foundation of existence.,ratio,latin,etymological,metaphysics,Seneca,"reason, discourse, principle"
The relationship between ratio and wisdom is explored in Lactantius's work.,ratio,latin,etymological,philosophy,Lactantius,"reason, discourse, principle"
"The essence of ratio manifests in causation, as Marcus Aurelius demonstrates.",ratio,latin,etymological,metaphysics,Marcus Aurelius,"reason, discourse, principle"
Boethius defines ratio as the principle underlying mind.,ratio,latin,etymological,philosophy,Boethius,"reason, discourse, principle"
Cicero defines ratio as the principle underlying reality.,ratio,latin,etymological,philosophy,Cicero,"reason, discourse, principle"
"Through ratio, we can understand the true nature of matter.",ratio,latin,etymological,metaphysics,Lucretius,"reason, discourse, principle"
The metaphysical status of ratio determines our grasp of time.,ratio,latin,etymological,metaphysics,Cicero,"reason, discourse, principle"
Boethius's analysis reveals ratio as the foundation of causation.,ratio,latin,etymological,metaphysics,Boethius,"reason, discourse, principle"
"When discussing mind, Macrobius emphasizes how ratio relates to human knowledge.",ratio,latin,etymological,philosophy,Macrobius,"reason, discourse, principle"
"When discussing soul, Varro emphasizes how ratio relates to human knowledge.",ratio,latin,etymological,philosophy,Varro,"reason, discourse, principle"
"Through ratio, we can understand the true nature of unity.",ratio,latin,etymological,metaphysics,Lactantius,"reason, discourse, principle"
The nature of ratio plays a central role in Marcus Aurelius's theory of truth.,ratio,latin,etymological,philosophy,Marcus Aurelius,"reason, discourse, principle"
The metaphysical status of ratio determines our grasp of essence.,ratio,latin,etymological,metaphysics,Quintilian,"reason, discourse, principle"
The metaphysical status of ratio determines our grasp of time.,ratio,latin,etymological,metaphysics,Lactantius,"reason, discourse, principle"
Quintilian's analysis reveals ratio as the foundation of form.,ratio,latin,etymological,metaphysics,Quintilian,"reason, discourse, principle"
The relationship between ratio and wisdom is explored in Marcus Aurelius's work.,ratio,latin,etymological,philosophy,Marcus Aurelius,"reason, discourse, principle"
Augustine shows how ratio transcends mere matter.,ratio,latin,etymological,metaphysics,Augustine,"reason, discourse, principle"
The nature of ratio plays a central role in Cicero's theory of soul.,ratio,latin,etymological,philosophy,Cicero,"reason, discourse, principle"
"Through ratio, we can understand the true nature of plurality.",ratio,latin,etymological,metaphysics,Boethius,"reason, discourse, principle"
The nature of ratio plays a central role in Boethius's theory of justice.,ratio,latin,etymological,philosophy,Boethius,"reason, discourse, principle"
The metaphysical status of ratio determines our grasp of causation.,ratio,latin,etymological,metaphysics,Lactantius,"reason, discourse, principle"
The metaphysical status of ratio determines our grasp of form.,ratio,latin,etymological,metaphysics,Macrobius,"reason, discourse, principle"
The relationship between ratio and virtue is explored in Varro's work.,ratio,latin,etymological,philosophy,Varro,"reason, discourse, principle"
"In considering mind, Macrobius argues that ratio is fundamental to understanding reality.",ratio,latin,etymological,philosophy,Macrobius,"reason, discourse, principle"
Varro defines ratio as the principle underlying truth.,ratio,latin,etymological,philosophy,Varro,"reason, discourse, principle"
Varro's analysis reveals ratio as the foundation of causation.,ratio,latin,etymological,metaphysics,Varro,"reason, discourse, principle"
"The essence of ratio manifests in plurality, as Macrobius demonstrates.",ratio,latin,etymological,metaphysics,Macrobius,"reason, discourse, principle"
The relationship between ratio and knowledge is explored in Boethius's work.,ratio,latin,etymological,philosophy,Boethius,"reason, discourse, principle"
Cicero shows how ratio transcends mere plurality.,ratio,latin,etymological,metaphysics,Cicero,"reason, discourse, principle"
"In considering truth, Boethius argues that ratio is fundamental to understanding reality.",ratio,latin,etymological,philosophy,Boethius,"reason, discourse, principle"
The metaphysical status of ratio determines our grasp of essence.,ratio,latin,etymological,metaphysics,Boethius,"reason, discourse, principle"
"The essence of ψυχή manifests in matter, as Pythagoras demonstrates.",ψυχή,greek,etymological,metaphysics,Pythagoras,"soul, life force"
"Through ψυχή, we can understand the true nature of causation.",ψυχή,greek,etymological,metaphysics,Plato,"soul, life force"
The nature of ψυχή plays a central role in Democritus's theory of wisdom.,ψυχή,greek,etymological,philosophy,Democritus,"soul, life force"
"When discussing truth, Parmenides emphasizes how ψυχή relates to human knowledge.",ψυχή,greek,etymological,philosophy,Parmenides,"soul, life force"
The relationship between ψυχή and justice is explored in Plotinus's work.,ψυχή,greek,etymological,philosophy,Plotinus,"soul, life force"
"The essence of ψυχή manifests in causation, as Parmenides demonstrates.",ψυχή,greek,etymological,metaphysics,Parmenides,"soul, life force"
"Through ψυχή, we can understand the true nature of space.",ψυχή,greek,etymological,metaphysics,Heraclitus,"soul, life force"
"In considering reality, Chrysippus argues that ψυχή is fundamental to understanding reality.",ψυχή,greek,etymological,philosophy,Chrysippus,"soul, life force"
Aristotle's analysis reveals ψυχή as the foundation of unity.,ψυχή,greek,etymological,metaphysics,Aristotle,"soul, life force"
"Through ψυχή, we can understand the true nature of matter.",ψυχή,greek,etymological,metaphysics,Aristotle,"soul, life force"
"When discussing wisdom, Parmenides emphasizes how ψυχή relates to human knowledge.",ψυχή,greek,etymological,philosophy,Parmenides,"soul, life force"
The relationship between ψυχή and truth is explored in Aristotle's work.,ψυχή,greek,etymological,philosophy,Aristotle,"soul, life force"
"When discussing wisdom, Plato emphasizes how ψυχή relates to human knowledge.",ψυχή,greek,etymological,philosophy,Plato,"soul, life force"
"When discussing virtue, Aristotle emphasizes how ψυχή relates to human knowledge.",ψυχή,greek,etymological,philosophy,Aristotle,"soul, life force"
Epicurus defines ψυχή as the principle underlying soul.,ψυχή,greek,etymological,philosophy,Epicurus,"soul, life force"
"Through ψυχή, we can understand the true nature of unity.",ψυχή,greek,etymological,metaphysics,Chrysippus,"soul, life force"
"When discussing mind, Democritus emphasizes how ψυχή relates to human knowledge.",ψυχή,greek,etymological,philosophy,Democritus,"soul, life force"
The metaphysical status of ψυχή determines our grasp of essence.,ψυχή,greek,etymological,metaphysics,Heraclitus,"soul, life force"
Plotinus defines ψυχή as the principle underlying virtue.,ψυχή,greek,etymological,philosophy,Plotinus,"soul, life force"
The nature of ψυχή plays a central role in Plato's theory of nature.,ψυχή,greek,etymological,philosophy,Plato,"soul, life force"
Plotinus's analysis reveals ψυχή as the foundation of unity.,ψυχή,greek,etymological,metaphysics,Plotinus,"soul, life force"
The relationship between ψυχή and being is explored in Democritus's work.,ψυχή,greek,etymological,philosophy,Democritus,"soul, life force"
The metaphysical status of ψυχή determines our grasp of substance.,ψυχή,greek,etymological,metaphysics,Epicurus,"soul, life force"
The nature of ψυχή plays a central role in Plato's theory of wisdom.,ψυχή,greek,etymological,philosophy,Plato,"soul, life force"
"In considering knowledge, Parmenides argues that ψυχή is fundamental to understanding reality.",ψυχή,greek,etymological,philosophy,Parmenides,"soul, life force"
"In considering truth, Parmenides argues that ψυχή is fundamental to understanding reality.",ψυχή,greek,etymological,philosophy,Parmenides,"soul, life force"
"The essence of ψυχή manifests in causation, as Aristotle demonstrates.",ψυχή,greek,etymological,metaphysics,Aristotle,"soul, life force"
"The essence of ψυχή manifests in substance, as Zeno demonstrates.",ψυχή,greek,etymological,metaphysics,Zeno,"soul, life force"
Plato shows how ψυχή transcends mere unity.,ψυχή,greek,etymological,metaphysics,Plato,"soul, life force"
"In considering soul, Epicurus argues that ψυχή is fundamental to understanding reality.",ψυχή,greek,etymological,philosophy,Epicurus,"soul, life force"
Plato's analysis reveals ψυχή as the foundation of essence.,ψυχή,greek,etymological,metaphysics,Plato,"soul, life force"
Plotinus shows how ψυχή transcends mere form.,ψυχή,greek,etymological,metaphysics,Plotinus,"soul, life force"
"Through ψυχή, we can understand the true nature of causation.",ψυχή,greek,etymological,metaphysics,Chrysippus,"soul, life force"
"Through ψυχή, we can understand the true nature of matter.",ψυχή,greek,etymological,metaphysics,Zeno,"soul, life force"
The relationship between ψυχή and virtue is explored in Heraclitus's work.,ψυχή,greek,etymological,philosophy,Heraclitus,"soul, life force"
The metaphysical status of ψυχή determines our grasp of causation.,ψυχή,greek,etymological,metaphysics,Zeno,"soul, life force"
Zeno shows how ψυχή transcends mere time.,ψυχή,greek,etymological,metaphysics,Zeno,"soul, life force"
"Through ψυχή, we can understand the true nature of causation.",ψυχή,greek,etymological,metaphysics,Pythagoras,"soul, life force"
Epicurus's analysis reveals ψυχή as the foundation of plurality.,ψυχή,greek,etymological,metaphysics,Epicurus,"soul, life force"
Epicurus shows how ψυχή transcends mere plurality.,ψυχή,greek,etymological,metaphysics,Epicurus,"soul, life force"
Parmenides defines ψυχή as the principle underlying truth.,ψυχή,greek,etymological,philosophy,Parmenides,"soul, life force"
Heraclitus's analysis reveals ψυχή as the foundation of substance.,ψυχή,greek,etymological,metaphysics,Heraclitus,"soul, life force"
Democritus shows how ψυχή transcends mere essence.,ψυχή,greek,etymological,metaphysics,Democritus,"soul, life force"
"In considering virtue, Zeno argues that ψυχή is fundamental to understanding reality.",ψυχή,greek,etymological,philosophy,Zeno,"soul, life force"
Plato defines ψυχή as the principle underlying soul.,ψυχή,greek,etymological,philosophy,Plato,"soul, life force"
Pythagoras's analysis reveals ψυχή as the foundation of matter.,ψυχή,greek,etymological,metaphysics,Pythagoras,"soul, life force"
"When discussing mind, Aristotle emphasizes how ψυχή relates to human knowledge.",ψυχή,greek,etymological,philosophy,Aristotle,"soul, life force"
The nature of ψυχή plays a central role in Plotinus's theory of being.,ψυχή,greek,etymological,philosophy,Plotinus,"soul, life force"
Plotinus's analysis reveals ψυχή as the foundation of time.,ψυχή,greek,etymological,metaphysics,Plotinus,"soul, life force"
"When discussing mind, Chrysippus emphasizes how ψυχή relates to human knowledge.",ψυχή,greek,etymological,philosophy,Chrysippus,"soul, life force"
"Through anima, we can understand the true nature of essence.",anima,latin,etymological,metaphysics,Cicero,"soul, life force"
"The essence of anima manifests in space, as Marcus Aurelius demonstrates.",anima,latin,etymological,metaphysics,Marcus Aurelius,"soul, life force"
"In considering nature, Lactantius argues that anima is fundamental to understanding reality.",anima,latin,etymological,philosophy,Lactantius,"soul, life force"
The relationship between anima and being is explored in Boethius's work.,anima,latin,etymological,philosophy,Boethius,"soul, life force"
Varro defines anima as the principle underlying nature.,anima,latin,etymological,philosophy,Varro,"soul, life force"
Quintilian's analysis reveals anima as the foundation of matter.,anima,latin,etymological,metaphysics,Quintilian,"soul, life force"
The metaphysical status of anima determines our grasp of plurality.,anima,latin,etymological,metaphysics,Lactantius,"soul, life force"
"Through anima, we can understand the true nature of existence.",anima,latin,etymological,metaphysics,Boethius,"soul, life force"
"The essence of anima manifests in essence, as Macrobius demonstrates.",anima,latin,etymological,metaphysics,Macrobius,"soul, life force"
"Through anima, we can understand the true nature of plurality.",anima,latin,etymological,metaphysics,Augustine,"soul, life force"
"The essence of anima manifests in unity, as Boethius demonstrates.",anima,latin,etymological,metaphysics,Boethius,"soul, life force"
"When discussing truth, Varro emphasizes how anima relates to human knowledge.",anima,latin,etymological,philosophy,Varro,"soul, life force"
"When discussing virtue, Cicero emphasizes how anima relates to human knowledge.",anima,latin,etymological,philosophy,Cicero,"soul, life force"
Varro defines anima as the principle underlying virtue.,anima,latin,etymological,philosophy,Varro,"soul, life force"
The nature of anima plays a central role in Augustine's theory of mind.,anima,latin,etymological,philosophy,Augustine,"soul, life force"
The metaphysical status of anima determines our grasp of essence.,anima,latin,etymological,metaphysics,Varro,"soul, life force"
"The essence of anima manifests in space, as Lactantius demonstrates.",anima,latin,etymological,metaphysics,Lactantius,"soul, life force"
The metaphysical status of anima determines our grasp of unity.,anima,latin,etymological,metaphysics,Cicero,"soul, life force"
"The essence of anima manifests in plurality, as Varro demonstrates.",anima,latin,etymological,metaphysics,Varro,"soul, life force"
Macrobius shows how anima transcends mere causation.,anima,latin,etymological,metaphysics,Macrobius,"soul, life force"
The nature of anima plays a central role in Boethius's theory of virtue.,anima,latin,etymological,philosophy,Boethius,"soul, life force"
Varro defines anima as the principle underlying wisdom.,anima,latin,etymological,philosophy,Varro,"soul, life force"
Cicero's analysis reveals anima as the foundation of unity.,anima,latin,etymological,metaphysics,Cicero,"soul, life force"
"When discussing virtue, Boethius emphasizes how anima relates to human knowledge.",anima,latin,etymological,philosophy,Boethius,"soul, life force"
The nature of anima plays a central role in Macrobius's theory of soul.,anima,latin,etymological,philosophy,Macrobius,"soul, life force"
Quintilian shows how anima transcends mere space.,anima,latin,etymological,metaphysics,Quintilian,"soul, life force"
The metaphysical status of anima determines our grasp of causation.,anima,latin,etymological,metaphysics,Marcus Aurelius,"soul, life force"
Marcus Aurelius's analysis reveals anima as the foundation of existence.,anima,latin,etymological,metaphysics,Marcus Aurelius,"soul, life force"
"When discussing knowledge, Quintilian emphasizes how anima relates to human knowledge.",anima,latin,etymological,philosophy,Quintilian,"soul, life force"
Augustine defines anima as the principle underlying being.,anima,latin,etymological,philosophy,Augustine,"soul, life force"
"When discussing knowledge, Quintilian emphasizes how anima relates to human knowledge.",anima,latin,etymological,philosophy,Quintilian,"soul, life force"
The metaphysical status of anima determines our grasp of space.,anima,latin,etymological,metaphysics,Seneca,"soul, life force"
The metaphysical status of anima determines our grasp of matter.,anima,latin,etymological,metaphysics,Lucretius,"soul, life force"
The metaphysical status of anima determines our grasp of form.,anima,latin,etymological,metaphysics,Varro,"soul, life force"
Lucretius shows how anima transcends mere space.,anima,latin,etymological,metaphysics,Lucretius,"soul, life force"
Seneca defines anima as the principle underlying being.,anima,latin,etymological,philosophy,Seneca,"soul, life force"
The relationship between anima and virtue is explored in Macrobius's work.,anima,latin,etymological,philosophy,Macrobius,"soul, life force"
"Through anima, we can understand the true nature of unity.",anima,latin,etymological,metaphysics,Lucretius,"soul, life force"
The relationship between anima and justice is explored in Cicero's work.,anima,latin,etymological,philosophy,Cicero,"soul, life force"
The nature of anima plays a central role in Quintilian's theory of virtue.,anima,latin,etymological,philosophy,Quintilian,"soul, life force"
"In considering nature, Quintilian argues that anima is fundamental to understanding reality.",anima,latin,etymological,philosophy,Quintilian,"soul, life force"
Lucretius's analysis reveals anima as the foundation of unity.,anima,latin,etymological,metaphysics,Lucretius,"soul, life force"
"The essence of anima manifests in form, as Lucretius demonstrates.",anima,latin,etymological,metaphysics,Lucretius,"soul, life force"
"In considering justice, Macrobius argues that anima is fundamental to understanding reality.",anima,latin,etymological,philosophy,Macrobius,"soul, life force"
The nature of anima plays a central role in Seneca's theory of soul.,anima,latin,etymological,philosophy,Seneca,"soul, life force"
"When discussing virtue, Augustine emphasizes how anima relates to human knowledge.",anima,latin,etymological,philosophy,Augustine,"soul, life force"
The metaphysical status of anima determines our grasp of time.,anima,latin,etymological,metaphysics,Lucretius,"soul, life force"
The relationship between anima and virtue is explored in Macrobius's work.,anima,latin,etymological,philosophy,Macrobius,"soul, life force"
Marcus Aurelius defines anima as the principle underlying truth.,anima,latin,etymological,philosophy,Marcus Aurelius,"soul, life force"
"The essence of anima manifests in form, as Boethius demonstrates.",anima,latin,etymological,metaphysics,Boethius,"soul, life force"
Democritus considers σοφία essential to achieving happiness.,σοφία,greek,etymological,ethics,Democritus,wisdom
"The practice of σοφία leads to courage, according to Chrysippus.",σοφία,greek,etymological,ethics,Chrysippus,wisdom
Parmenides defines σοφία as the principle underlying truth.,σοφία,greek,etymological,philosophy,Parmenides,wisdom
"In Democritus's ethical theory, σοφία guides us toward wisdom.",σοφία,greek,etymological,ethics,Democritus,wisdom
"True excellence requires understanding of σοφία, as Aristotle explains.",σοφία,greek,etymological,ethics,Aristotle,wisdom
"In Chrysippus's ethical theory, σοφία guides us toward duty.",σοφία,greek,etymological,ethics,Chrysippus,wisdom
Epicurus defines σοφία as the principle underlying soul.,σοφία,greek,etymological,philosophy,Epicurus,wisdom
"In considering wisdom, Pythagoras argues that σοφία is fundamental to understanding reality.",σοφία,greek,etymological,philosophy,Pythagoras,wisdom
"In Plato's ethical theory, σοφία guides us toward wisdom.",σοφία,greek,etymological,ethics,Plato,wisdom
Heraclitus considers σοφία essential to achieving happiness.,σοφία,greek,etymological,ethics,Heraclitus,wisdom
Chrysippus considers σοφία essential to achieving happiness.,σοφία,greek,etymological,ethics,Chrysippus,wisdom
"When discussing mind, Heraclitus emphasizes how σοφία relates to human knowledge.",σοφία,greek,etymological,philosophy,Heraclitus,wisdom
Pythagoras defines σοφία as the principle underlying justice.,σοφία,greek,etymological,philosophy,Pythagoras,wisdom
"In considering knowledge, Chrysippus argues that σοφία is fundamental to understanding reality.",σοφία,greek,etymological,philosophy,Chrysippus,wisdom
"When discussing knowledge, Parmenides emphasizes how σοφία relates to human knowledge.",σοφία,greek,etymological,philosophy,Parmenides,wisdom
Heraclitus considers σοφία essential to achieving justice.,σοφία,greek,etymological,ethics,Heraclitus,wisdom
"In considering knowledge, Heraclitus argues that σοφία is fundamental to understanding reality.",σοφία,greek,etymological,philosophy,Heraclitus,wisdom
"In Plato's ethical theory, σοφία guides us toward goodness.",σοφία,greek,etymological,ethics,Plato,wisdom
Chrysippus defines σοφία as the principle underlying nature.,σοφία,greek,etymological,philosophy,Chrysippus,wisdom
"In considering virtue, Plato argues that σοφία is fundamental to understanding reality.",σοφία,greek,etymological,philosophy,Plato,wisdom
"In Plotinus's ethical theory, σοφία guides us toward happiness.",σοφία,greek,etymological,ethics,Plotinus,wisdom
"In Plotinus's ethical theory, σοφία guides us toward justice.",σοφία,greek,etymological,ethics,Plotinus,wisdom
Aristotle defines σοφία as the principle underlying reality.,σοφία,greek,etymological,philosophy,Aristotle,wisdom
"In considering being, Heraclitus argues that σοφία is fundamental to understanding reality.",σοφία,greek,etymological,philosophy,Heraclitus,wisdom
The nature of σοφία plays a central role in Epicurus's theory of being.,σοφία,greek,etymological,philosophy,Epicurus,wisdom
Parmenides considers σοφία essential to achieving happiness.,σοφία,greek,etymological,ethics,Parmenides,wisdom
Parmenides considers σοφία essential to achieving excellence.,σοφία,greek,etymological,ethics,Parmenides,wisdom
"In considering soul, Parmenides argues that σοφία is fundamental to understanding reality.",σοφία,greek,etymological,philosophy,Parmenides,wisdom
Democritus defines σοφία as the principle underlying truth.,σοφία,greek,etymological,philosophy,Democritus,wisdom
"True happiness requires understanding of σοφία, as Chrysippus explains.",σοφία,greek,etymological,ethics,Chrysippus,wisdom
The relationship between σοφία and justice is explored in Aristotle's work.,σοφία,greek,etymological,philosophy,Aristotle,wisdom
"True temperance requires understanding of σοφία, as Aristotle explains.",σοφία,greek,etymological,ethics,Aristotle,wisdom
The relationship between σοφία and truth is explored in Chrysippus's work.,σοφία,greek,etymological,philosophy,Chrysippus,wisdom
"The practice of σοφία leads to duty, according to Democritus.",σοφία,greek,etymological,ethics,Democritus,wisdom
"In Plotinus's ethical theory, σοφία guides us toward duty.",σοφία,greek,etymological,ethics,Plotinus,wisdom
The nature of σοφία plays a central role in Chrysippus's theory of knowledge.,σοφία,greek,etymological,philosophy,Chrysippus,wisdom
"When discussing nature, Zeno emphasizes how σοφία relates to human knowledge.",σοφία,greek,etymological,philosophy,Zeno,wisdom
The relationship between σοφία and reality is explored in Zeno's work.,σοφία,greek,etymological,philosophy,Zeno,wisdom
The relationship between σοφία and nature is explored in Parmenides's work.,σοφία,greek,etymological,philosophy,Parmenides,wisdom
"The practice of σοφία leads to wisdom, according to Pythagoras.",σοφία,greek,etymological,ethics,Pythagoras,wisdom
The nature of σοφία plays a central role in Aristotle's theory of knowledge.,σοφία,greek,etymological,philosophy,Aristotle,wisdom
The relationship between σοφία and virtue is explored in Epicurus's work.,σοφία,greek,etymological,philosophy,Epicurus,wisdom
